id,persona,origem,categoria,tipo_resposta_esperada,criticidade,pergunta,resposta_esperada,criterio_de_aceite,fontes_referencia,respostas 
1,Alunos da jornada do ensino médio,arquivo_do_usuario,conceito,informar,baixa,O que é o Sistema de Seleção Unificada (Sisu)?,O Sisu é o Sistema de Seleção Unificada do MEC. Ele usa as notas do Enem para classificar candidatos a vagas em instituições públicas de educação superior participantes. A inscrição é gratuita e feita no Portal Único de Acesso ao Ensino Superior.,"Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
2,Alunos da jornada do ensino médio,arquivo_do_usuario,conceito,informar,baixa,O q é o Sisu?,O Sisu é o Sistema de Seleção Unificada do MEC. Ele usa as notas do Enem para classificar candidatos a vagas em instituições públicas de educação superior participantes. A inscrição é gratuita e feita no Portal Único de Acesso ao Ensino Superior.,"Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
3,Alunos da jornada do ensino médio,arquivo_do_usuario,governanca,informar,baixa,Qual órgão é responsável pelo Sisu?,"O Sisu é gerido pelo Ministério da Educação (MEC), com atuação da Secretaria de Educação Superior (Sesu). Para atendimento ao candidato, o canal oficial é o Portal Único de Acesso ao Ensino Superior e a Central do MEC.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
4,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,informar,baixa,Para quais tipos de instituições o Sisu seleciona estudantes?,"O Sisu seleciona estudantes para vagas em instituições públicas de educação superior que aderem ao processo seletivo, como universidades públicas, institutos federais e outras IES públicas participantes.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
5,Alunos da jornada do ensino médio,arquivo_do_usuario,elegibilidade,informar,baixa,Quem pode se inscrever no Sisu?,"Podem participar candidatos que tenham feito pelo menos uma das três últimas edições do Enem, tenham obtido nota maior que zero na redação em pelo menos uma dessas edições e não tenham participado apenas como treineiro. Além disso, é preciso atender às exigências do edital e da instituição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
6,Alunos da jornada do ensino médio,arquivo_do_usuario,classificacao,informar,baixa,Quem é selecionado no Sisu?,"É selecionado quem ficar melhor classificado, em ordem decrescente de nota, dentro do número de vagas do curso e da modalidade de concorrência escolhidos.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
7,Alunos da jornada do ensino médio,arquivo_do_usuario,taxas,informar,baixa,Preciso pagar alguma taxa para participar do Sisu?,"Não há taxa para se inscrever no Sisu. As vagas do Sisu são para cursos de graduação gratuitos em instituições públicas. A matrícula deve seguir as regras da instituição, mas o Sisu não cobra taxa de inscrição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
8,Alunos da jornada do ensino médio,arquivo_do_usuario,elegibilidade,informar,baixa,Quais são os requisitos necessários para fazer a inscrição no Sisu?,"Podem participar candidatos que tenham feito pelo menos uma das três últimas edições do Enem, tenham obtido nota maior que zero na redação em pelo menos uma dessas edições e não tenham participado apenas como treineiro. Além disso, é preciso atender às exigências do edital e da instituição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
9,Alunos da jornada do ensino médio,arquivo_do_usuario,enem,informar,baixa,Quantas edições do Enem o candidato precisa ter participado para se inscrever no Sisu?,"Podem participar candidatos que tenham feito pelo menos uma das três últimas edições do Enem, tenham obtido nota maior que zero na redação em pelo menos uma dessas edições e não tenham participado apenas como treineiro. Além disso, é preciso atender às exigências do edital e da instituição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
10,Alunos da jornada do ensino médio,arquivo_do_usuario,elegibilidade,informar,baixa,Quais candidatos estão aptos a participar do processo seletivo do Sisu?,"Podem participar candidatos que tenham feito pelo menos uma das três últimas edições do Enem, tenham obtido nota maior que zero na redação em pelo menos uma dessas edições e não tenham participado apenas como treineiro. Além disso, é preciso atender às exigências do edital e da instituição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
11,Alunos da jornada do ensino médio,arquivo_do_usuario,resultado,orientar,media,Quando os candidatos são selecionados na chamada regular do Sisu?,"Os candidatos são selecionados na chamada regular após o encerramento das inscrições, na data prevista no cronograma da edição vigente. A resposta correta deve orientar a consultar o edital e o Portal Único de Acesso ao Ensino Superior para ver a data exata.","Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
12,Alunos da jornada do ensino médio,arquivo_do_usuario,classificacao,informar,baixa,Como é feita a classificação dos candidatos no processo seletivo?,"O sistema classifica candidatos por curso e modalidade de concorrência, usando a nota de concorrência calculada com base nas regras do curso, em ordem decrescente, até o limite de vagas. Se houver critérios adicionais de desempate, eles devem ser verificados no edital.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
13,Alunos da jornada do ensino médio,arquivo_do_usuario,classificacao,informar,baixa,Como funciona a seleção quando há mais candidatos do que vagas disponíveis em um curso?,"O sistema classifica candidatos por curso e modalidade de concorrência, usando a nota de concorrência calculada com base nas regras do curso, em ordem decrescente, até o limite de vagas. Se houver critérios adicionais de desempate, eles devem ser verificados no edital.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
